"","temp_bin","temp","rate_output","trial","rep"
"1",17,17.344,-24.6836929450095,1,1
"2",17,17.479,-20.7927757710474,1,2
"3",17,17.042,-10.6187496526807,1,51
"4",17,16.824,-15.1593745737444,1,52
"5",17,17.099,-16.3457768572079,1,53
"6",17,17.395,-39.5042643158421,1,54
"7",18,17.625,-20.9145368663004,1,3
"8",18,17.793,-19.9685831923007,1,4
"9",18,17.986,-19.0680239460454,1,5
"10",18,18.195,-43.9172174088758,1,6
"11",18,18.422,-20.651627472278,1,7
"12",18,18.437,-12.4690454419154,1,50
"13",18,17.678,-19.4217221955585,1,55
"14",18,17.957,-32.8889721892434,1,56
"15",18,18.241,-16.6356391927045,1,57
"16",19,18.635,-34.8955477531636,1,8
"17",19,18.881,-34.2560064664423,1,9
"18",19,19.144,-18.6571098032282,1,10
"19",19,19.43,-32.9930010861603,1,11
"20",19,18.531,-12.5342999317995,1,58
"21",19,18.84,-48.8129591553197,1,59
"22",19,19.139,-32.7312738386895,1,60
"23",19,19.42,-36.1642274369111,1,61
"24",20,19.775,-31.2167076713232,1,12
"25",20,20.062,-32.2726009750184,1,13
"26",20,20.345,-18.5689216701612,1,14
"27",20,20.206,-37.1326418954754,1,15
"28",20,20.481,-53.5079724165795,1,16
"29",20,20.46,-23.9209719871674,1,38
"30",20,20.388,-25.3088120437487,1,39
"31",20,20.326,-42.4608128520552,1,40
"32",20,20.278,-21.3036995124892,1,41
"33",20,20.235,-48.4819581196778,1,42
"34",20,20.198,-27.4409315719003,1,43
"35",20,20.179,-18.3083765692487,1,44
"36",20,20.174,-60.5786273964972,1,45
"37",20,20.175,-25.7443148349266,1,46
"38",20,20.205,-22.8445093334,1,47
"39",20,20.249,-26.545810199802,1,48
"40",20,20.293,-24.6794372174052,1,49
"41",20,19.703,-19.3084725555044,1,62
"42",20,19.978,-20.3672030109347,1,63
"43",21,20.756,-52.9582742681037,1,17
"44",21,21.095,-24.745637424536,1,18
"45",21,21.348,-23.6188153274892,1,19
"46",21,21.476,-20.5622571926536,1,27
"47",21,21.389,-27.2087579883282,1,28
"48",21,21.29,-23.2644077900423,1,29
"49",21,21.186,-24.2529187400526,1,30
"50",21,21.082,-25.3780858319222,1,31
"51",21,20.974,-29.1801055848831,1,32
"52",21,20.879,-30.1270049761277,1,33
"53",21,20.792,-26.7533951350124,1,34
"54",21,20.71,-28.1998696607632,1,35
"55",21,20.62,-26.7947702644651,1,36
"56",21,20.543,-31.3621116976923,1,37
"57",22,21.615,-22.5049968425564,1,20
"58",22,21.714,-45.0906160802218,1,21
"59",22,21.73,-49.03094698022,1,22
"60",22,21.705,-29.515835206749,1,23
"61",22,21.664,-30.985479804996,1,24
"62",22,21.615,-32.6667286367412,1,25
"63",22,21.554,-28.2164197125458,1,26
